City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,selfoss,63.9331,-20.9971,8.25,80,3,2.18,IS,1686621759
155,muli,2.9167,73.5667,28.74,76,96,6.39,MV,1686621760
156,ribeira grande,38.5167,-28.7,19.32,97,8,1.79,PT,1686621760
157,kangding,30.0513,101.9603,13.11,94,100,1.98,CN,1686621760
158,la ronge,55.1001,-105.2842,20.14,45,100,3.09,CA,1686621760
159,ouarzazat,30.9189,-6.8934,24.16,27,0,3.09,MA,1686621760
160,tuensang,26.2833,94.8333,24.66,87,26,0.49,IN,1686621760
161,mejit,10.2753,170.8646,27.75,80,79,8.75,MH,1686621760
162,nikol'sk,53.7189,46.0712,9.32,71,100,6.79,RU,1686621760
163,roma,43.2128,-75.4557,18.86,90,100,3.09,US,1686621761
164,kodiak,57.79,-152.4072,10.0,68,92,0.64,US,1686621761
165,saipan,15.1355,145.701,30.36,100,30,4.47,MP,1686621761
166,tikhvin,59.6451,33.5294,10.0,67,10,1.96,RU,1686621761
167,choyr,46.3611,108.3611,25.75,20,12,3.99,MN,1686621761
168,port macquarie,-31.4333,152.9167,17.16,49,100,2.52,AU,1686621761
169,zheleznogorsk,52.331,35.3711,11.39,69,100,5.48,RU,1686621761
170,plettenberg bay,-34.0527,23.3716,12.78,67,94,2.99,ZA,1686621762
171,hun,29.1268,15.9477,22.55,55,0,2.92,LY,1686621762
172,saint-joseph,-21.3667,55.6167,21.93,77,0,1.23,RE,1686621762
173,kpalime,6.9,0.6333,20.71,88,96,0.96,TG,1686621762
174,mwinilunga,-11.7358,24.4293,18.36,47,100,1.42,ZM,1686621762
175,jamestown,42.097,-79.2353,13.77,79,100,4.63,US,1686621609
176,yurimaguas,-5.9,-76.0833,23.39,97,0,0.49,PE,1686621762
177,kirakira,-10.4544,161.9205,29.25,74,18,3.37,SB,1686621762
178,delijan,33.9905,50.6838,25.48,28,1,0.98,IR,1686621763
179,mazagao,-0.115,-51.2894,27.03,97,100,1.66,BR,1686621763
180,usogorsk,63.4106,48.6872,13.19,81,100,3.53,RU,1686621763
181,pisco,-13.7,-76.2167,20.03,73,2,4.12,PE,1686621763
182,tiksi,71.6872,128.8694,2.2,96,100,3.0,RU,1686621763
183,glazov,58.1394,52.6584,8.96,66,0,1.66,RU,1686621763
184,kirchenviertel,47.1362,15.3457,13.06,76,2,0.51,AT,1686621763
185,arenapolis,-14.4503,-56.8461,18.66,91,99,2.85,BR,1686621763
186,rongelap,11.1635,166.8941,27.89,80,99,7.92,MH,1686621764
187,utrik,11.2278,169.8474,27.73,80,31,8.23,MH,1686621764
188,saudarkrokur,65.7461,-19.6394,8.93,81,9,3.01,IS,1686621764
189,wellington,-41.2866,174.7756,12.81,83,100,10.29,NZ,1686621407
190,bamboo flat,11.7,92.7167,28.05,89,100,2.57,IN,1686621764
191,belev,53.8119,36.1319,7.67,85,89,4.68,RU,1686621764
192,veinticinco de mayo,-35.4323,-60.1727,2.21,68,0,2.13,AR,1686621764
193,jinka,5.65,36.65,17.28,86,99,0.92,ET,1686621764
194,kaedi,16.1465,-13.5047,35.63,17,72,2.94,MR,1686621765
195,dalnerechensk,45.9339,133.7225,21.03,72,87,2.24,RU,1686621765
